query,gpt4o_answer
Waitrose 8 Red Onion Bhajis with a Date and Tamarind Dip 제품이 왜 회수되었나?,소비기한 오표시 때문
"Hassui Kamaboko Co.,Ltd.에서 회수한 제품의 회수 사유는?",일부 상품의 팽창 및 가스 고임으로 인한 부패
프랑스 Ducourau사의 굴이 회수된 이유는?,노로바이러스 오염
말레이시아 트렝가누주에서 발생한 식중독 사망 원인은?,샌드위치 섭취.
Arauco 올리브유가 판매금지된 이유는?,등록번호 허위 표시.
벨기에에서 Isla Délice 식육가공품이 회수된 이유는?,클로스트리디움 보툴리눔 존재 가능성.
영국 Country Kitchen에서 회수한 머핀의 제품명은?,Double Chocolate Chip Muffins.
Le Duo des Gors 치즈가 회수된 이유는?,시가독소 생성 대장균 검출.
뉴질랜드에서 Value brand 탄산음료가 회수된 이유는?,페닐알라닌 함유 및 오포장.
"미국에서 TGD Cuts, LLC가 회수한 과일의 오염 가능성이 있는 병원균은?",살모넬라.
FishMeatz LLP가 벌금형을 받은 이유는 무엇인가?,미허가 냉장 창고 운영.
Rude Health Organic Coconut Drink가 회수된 이유는 무엇인가?,우유 함유 미표시.
New Roots Herbal의 아슈와간다 제품이 회수된 이유는 무엇인가?,이물 혼입 가능성.
벨기에에서 BERGERONNETTE Pérail du Fédou 치즈가 회수된 이유는 무엇인가?,리스테리아 모노사이토제네스 존재.
루샤오자 식품 유한공사의 오향 닭날개가 부적합 판정을 받은 이유는 무엇인가?,세균수 기준 초과.
GDE Grocery Delivery E-Services Canada Inc.가 회수한 닭고기 제품의 유통지역은 어디인가?,"New Brunswick, Nova Scotia, Ontario, Prince Edward Island, Quebec."
이탈리아에서 수출한 신선 여름 송로버섯의 카드뮴 함량은 얼마인가?,3 mg/kg.
Mrs Kirkham 치즈가 회수된 이유는 무엇인가?,병원성 대장균 오염 가능성.
코스타리카 내 리스테리아증 감염 사례는 주로 어떤 식품과 관련이 있는가?,유제품
쓰촨 촨라오라오 식품 과학기술유한공사의 식용 식물 혼합유에서 검출된 부적합 물질은 무엇인가?,에틸 말톨.
베트남 하노이 시장관리국은 어떤 불법 행위를 적발했는가?,"베트남 하노이 시장관리국은 경찰과 협조하여 기능성식품 제조 시설을 단속했으며, 해당 시설이 유명 기능성식품 브랜드(Blackmores 등)를 위조하여 제조하고 있음을 적발했다. 해당 시설은 이전에 양계장이었으나, 점검 당시 기능성식품 및 화장품의 영업·제조시설로 사용되고 있었다. 당국은 위반 징후가 있는 원료와 상품을 점검하고, 관련 서류를 공안에 이첩했다."
