id,질문,예상답변,정답,제목,gold문서
1,"캐나다 정부가 건강영향평가를 실시하기로 한 농약 중 2,4-D는 몇 개 제품에 사용되나요?","캐나다 정부가 건강영향평가를 실시하기로 한 농약 중 2,4-D는 총 140개 제품에 사용됩니다.",140개 제품에 사용됨.,"캐나다 정부, 농약 23종 건강영향평가 실시하기로","캐나다 정부, 농약 23종 건강영향평가 실시하기로 캐나다 연방정부가 밀밭부터 도심지역 잔디밭까지 어디에서나 사용되는 제초제를 포함하여 23종의 농약에 대한 건강영향평가를 실시한다고 발표함에 따라 환경운동가들이 환영의 뜻을 밝힘. 환경운동가들은 이 같은 결정이 지난 해 여름부터 수 차례 소상이 제기된 이후 나온 것임을 지적함.  환경단체 에코저스티스(Ecojustice)는 지난 해 8월, 유럽에서 사용이 금지된 29종의화학물질에 대해 소송을 제기함. 연방정부는 경제협력개발기구(OECD) 소속 다른 국가가 사용을 금지한 화학물질에 대해..."
2,유럽식품안전청의 화학적 위해요인 데이터베이스는 어떤 자료를 기반으로 업데이트되었나요?,유럽식품안전청의 화학적 위해요인 데이터베이스는 2014년 2월분 자료를 반영하여 업데이트되었습니다.,"유럽식품안전청의 화학적 위해요인 데이터베이스는 EFSA 패널이 채택한 평가의견과 성명에서 자료를 추출하여 업데이트되었으며, 이번 업데이트에서는 2014년 2월분 자료를 반영했습니다.","유럽식품안전청, 화학적 위해요인 데이터베이스 추가 개발 및 업데이트","유럽식품안전청, 화학적 위해요인 데이터베이스 추가 개발 및 업데이트 유럽식품안전청(EFSA)은 식품 및 사료의 자체 화학적 위해평가에서 도출한 위해요인 데이터 요약을 이용해 화학적 위해요인 데이터베이스를 채워나가고 있음.화학적 위해요인 데이터베이스는 EFSA의 평가의견, 성명, 결과나 상세 설명(화학물질, 서류 설명, 위해요인, 위해요인 특성/위해성 특성)에서 뽑은 위해요인 자료들을 맵핑하는 용도로, 특히나 위해요인 데이터를 주요하게 다루고 있음.데이터베이스는 NDA, CONTAM, FEEDAP, AFC, AFC 등 EFSA 패널이..."
3,Jumbo UK Ltd의 검은콩 회수 이유는 무엇인가요?,Jumbo UK Ltd의 검은콩 회수 이유는 건조된 콩이 알루미늄포스파이드와 함께 수송되어 오염 위험이 있었기 때문입니다.,건조된 콩이 훈증제로 사용되는 알루미늄포스파이드와 함께 수송되어 예방 조치로 회수함.,"[회수]영국 Jumbo UK Ltd, 알루미늄포스파이드 오염 위험으로 검은콩 회수","[회수]영국 Jumbo UK Ltd, 알루미늄포스파이드 오염 위험으로 검은콩 회수 영국 식품기준청, 'Jumbo UK Ltd'의 검은콩을 알루미늄포스파이드 오염 위험으로 회수 발표 - 일시: 2014. 10. 16.- 제품명: Brown Beans(1kg, 1.5kg, 4kg, 모든 배치 제품)- 브랜드명: Nigeria Taste- 회수사: Jumbo UK Ltd- 회수사유: 건조된 콩이 훈증제로 사용되는 알루미늄포스파이드(aluminium phosphide)와 함께 수송됨. 알루미늄포스파이드가 검출된 제품은 없으나 예방 조치로 ..."
4,머크사는 왜 2013년에 질맥스 판매를 중단했나요?,머크사는 2013년 질맥스 판매를 중단한 이유로 동물 복지에 대한 우려 때문이었음.,젖소의 보행이 어려운 문제로 인해 동물 복지가 우려되었기 때문입니다.,"미국 소비자단체, 질맥스 판매 재개에 비판","미국 소비자단체, 질맥스 판매 재개에 비판 소비자단체인 '우육 첨가물 경보(Beef Additive Alert™)'는 소고기를 생산하는데 근육을 강화시키는 젖소 첨가물을 사용하는 것을 비판했음. 동 단체의 공동 설립자인 제라드 티머맨은 소고기 생산에 베타 아고니스트가 포함되어야 한다는 점에 대해 우리를 설득할 수 없을 것이라면서 소고기 가공업자들이 동물 복지를 위해 질맥스를 먹인 젖소를 수용하지 않고 미국 소고기의 품질과 일관성, 그리고 정직함을 보존하는데 계속해서 애써주기를 바란다고 전함. 머크(사)는 수익을 높이고, 체중을 증가..."
5,유럽식품안전청이 프로피온산과 관련된 안전성 재평가에서 어떤 결론을 내렸나요?,유럽식품안전청은 프로피온산과 관련 첨가물들이 현재 승인된 용도와 수준에서 사용될 경우 안전성에 대한 우려가 제기되지 않는다고 결론지었습니다.,"유럽식품안전청은 프로피온산과 관련하여 유전독성 및 발암성에 대한 우려가 없으며, 현재 승인된 용도와 수준으로 사용된다면 안전성 우려가 제기되지 않는다고 결론지었습니다.","유럽식품안전청, 프로피온산, 프로피온산나트륨, 프로피온산칼슘, 피로피온산칼륨 안전성 재평가 의견 발표","유럽식품안전청, 프로피온산, 프로피온산나트륨, 프로피온산칼슘, 피로피온산칼륨 안전성 재평가 의견 발표 유럽식품안전청의 식품첨가물 및 식품에 첨가하는 영양소 패널(ANS)은 프로피온산(E 280), 프로피온산나트륨(E 281), 프로피온산칼슘(E 282), 피로피온산칼륨(E 283)에 대한 안전성 재평가 의견을 발표함.  - 유전독성 및 발암성에 대한 우려 없음. - 프로피온산을 식품첨가물로 사용할 때 평균 및 95th percentile 식이노출치는 각각 0.7-21.1 mg/kg bw/day, 3.6-40.8 mg/kg bw/da..."
6,파나마병을 야기하는 곰팡이 균주 TR4가 미국 바나나 공급에 어떤 영향을 미치고 있나요?,"파나마병을 야기하는 곰팡이 균주 TR4는 미국 바나나 공급을 위협하며, 특히 캐번디시 바나나 품종에 심각한 타격을 주어 세계 바나나 산업에 중대한 위기를 초래하고 있음. 해당 문서에 미국 내 직접적인 영향 사례는 명시되어 있지 않으나, 전 세계 바나나 작물에 대한 위협이 미국 공급망에도 악영향을 미칠 가능성이 제기됨.","TR4 균주는 미국의 과일 공급을 심각하게 위협하고 있으며, 캐번디시 바나나 품종이 전멸되어 가고 있습니다.","미국, 바나나를 위협하는 곰팡이균의 확산 심각해","미국, 바나나를 위협하는 곰팡이균의 확산 심각해 세계의 바나나 상품을 위협에 빠뜨리는 곰팡이 균주의 확산으로 인해 바나나 식품망이 위기에 처했음. 1989년 최초로 파나마병(Panama disease)을 야기하는 곰팡이 균주(TR4)를 발견한 플로리다 주립대학 식물병리학 교수 랜디 플뢰츠는 라틴아메리카 생산자와 미국의 과일공급을 심각하게 위협하기 시작할 것이라고 전하며 아주 심각한 상황이라고 말했음. 그는 본 방송사(CNBC)와의 인터뷰를 통해 이 시점에 곰팡이 균주의 확산을 저지시킬 방도가 없다고 말했음.1,000여 품종의 바나나..."
7,미국 동식물검역국이 멕시코 소로나주를 열진드기 청정지역으로 승인하려는 이유는 무엇인가?,"미국 동식물검역국은 멕시코 소로나주를 열진드기 청정지역으로 승인함으로써, 소와 반추류 수입업자와 수출업자의 진드기 관련 비용을 절감하고 불필요한 규제를 없애려 함.",소노라산 소와 반추류의 수입에 관한 규제를 없애고 반추류 수입업자와 수출업자의 진드기 침지와 관련된 비용을 절감시키기 위함이다.,"미국 동식물검역국, 멕시코 소로나주 열진드기 청정지역 승인안 발표","미국 동식물검역국, 멕시코 소로나주 열진드기 청정지역 승인안 발표 미국 동식물검역국(APHIS)은 멕시코 소로나주를 열진드기 청정지역으로 승인할 것을 제안을 함.  당국은 미국의 통관 적격 요건으로 소로나에서 유래한 소와 그 밖의 반추류에 현재 적용되는 진드기 구충제 침지 처리 요건과 침지와 관련된 문서화요건의 면제 또한 마련함. 개정안은 더 이상 불필요하다고 간주되는 소노라산 소와 반추류의 수입에 관한 규제를 없애고 반추류 수입업자와 수출업자의 진드기 침지와 관련된 비용을 절감시킬 것임. 당국은 2014년 9월 15일까지 수렴된 ..."
8,Mountain View Organic Dairy의 목욕용 우유는 언제 회수되었나요?,Mountain View Organic Dairy의 목욕용 우유는 2014년 12월 12일에 회수되었습니다.,2014년 12월 12일에 회수되었습니다.,"[회수]호주 Mountain View Organic Dairy, 유해 병원균 함유 가능성으로 목욕용 우유 회수","[회수]호주 Mountain View Organic Dairy, 유해 병원균 함유 가능성으로 목욕용 우유 회수 *12일자 경쟁소비자위원회(ACCC) 안내문으로 기수집한 정보  - 회수일시: 2014.12.12- 유통지역: 빅토리아주 (*상세 거래처명은 원문 참조)- 제품명: Organic Bath Milk (목욕용 비저온살균 생유, 1리터 또는 2리터 포장, 화장품으로 판매, 식용 부적합 표시, 유통기한 181214)- 회수사: Mountain View Organic Dairy- 회수사유: 유해 병원균 함유 가능성..."
9,카프리 썬 주스제품의 포장 시스템에 어떤 변화가 있었나요?,"카프리 썬은 새로운 파우치 포장 시스템을 도입하여 깨끗한 내용물을 확인할 수 있게 하였으며, 이 변화는 합성 보존료·착향제·향미료 첨가 여부를 넘어 어머니 소비자들이 원하는 좋은 성분 확인을 용이하게 하기 위함임.","카프리 썬은 포장 시스템에 큰 변화를 주었으며, 이번 달 새로 출시된 파우치에는 깨끗한 내용물을 확인할 수 있게 되었습니다.","미국, 카프리 썬 주스제품에서 곰팡이 발견","미국, 카프리 썬 주스제품에서 곰팡이 발견 미국 위스콘신주에 뉴 베를린에 거주하는 한 소비자 수잔 호그(Suzanne Hogue)는 그녀의 5살 난 아들의 주스박스 제품에서 곰팡이를 발견했다고 본 방송사(FOX6′s Contact 6)에 알렸음. 그녀는 아들에게 줄 주스를 컵에 따랐는데 컵 안에 내용물은 갈색의 검고, 녹색을 띄었다고 함. 전문가는 주스박스에서의 곰팡이 성장은 아마 공기 중에 노출되어 일어날 수 있는 현상이라고 말했음. 미국 전역에 걸친 소비자들이 주스박스와 파우치 제품에서 곰팡이를 발견한 것과 관련해 항의하고 있지..."
10,ZMapp 실험 약품 투여 후 켄트 브랜틀리의 상태는 어떻게 변했나요?,켄트 브랜틀리는 ZMapp 실험 약품 투여 후 걸을 수 있게 되었습니다.,브랜틀리는 걸을 수 있게 되었습니다.,"미국, 에볼라 바이러스 감염환자 2명.. 실험약물 투여 후 증세 호전","미국, 에볼라 바이러스 감염환자 2명.. 실험약물 투여 후 증세 호전 에볼라 바이러스에 감염되었다고 보도된 켄트 브랜틀리(Kent Brantley)와 낸시 라이트볼(Nancy Writebol)의 증세가 'ZMapp'이라는 실험 약품이 투여된 뒤 호전되고 있음. 아틀란타 에모리 대학병원에서 치료를 받고 있는 브랜틀리는 걸을 수 있게 되었으며, 라이트볼은 화요일(5일) 아틀란타에 당도할 예정이라고 함. 7월 22일, 브랜틀리는 열병 증세를 겪기 시작했으며, 라이트볼의 증세는 3일 뒤 시작되었음. 원조기관인 '사마리안의 지갑(Samari..."
