id,질문,예상답변,정답
1,"캐나다 정부가 건강영향평가를 실시하기로 한 농약 중 2,4-D는 몇 개 제품에 사용되나요?","2,4-D는 약 36개 제품에 사용되고 있습니다.",140개 제품에 사용됨.
2,유럽식품안전청의 화학적 위해요인 데이터베이스는 어떤 자료를 기반으로 업데이트되었나요?,유럽식품안전청의 화학적 위해요인 데이터베이스는 과학적 연구 결과와 최신 위험 평가를 기반으로 업데이트됩니다.,"유럽식품안전청의 화학적 위해요인 데이터베이스는 EFSA 패널이 채택한 평가의견과 성명에서 자료를 추출하여 업데이트되었으며, 이번 업데이트에서는 2014년 2월분 자료를 반영했습니다."
3,Jumbo UK Ltd의 검은콩 회수 이유는 무엇인가요?,Jumbo UK Ltd는 제품 품질 및 안전 문제로 인해 검은콩 회수 조치를 취했습니다.,건조된 콩이 훈증제로 사용되는 알루미늄포스파이드와 함께 수송되어 예방 조치로 회수함.
4,머크사는 왜 2013년에 질맥스 판매를 중단했나요?,머크사는 2013년 질맥스 판매를 중단한 이유는 주로 경쟁 제품들에 비해 시장 경쟁력이 부족했기 때문입니다.,젖소의 보행이 어려운 문제로 인해 동물 복지가 우려되었기 때문입니다.
5,유럽식품안전청이 프로피온산과 관련된 안전성 재평가에서 어떤 결론을 내렸나요?,유럽식품안전청은 프로피온산이 현재 섭취 수준에서 건강에 위협이 되지 않는다고 결론지었습니다.,"유럽식품안전청은 프로피온산과 관련하여 유전독성 및 발암성에 대한 우려가 없으며, 현재 승인된 용도와 수준으로 사용된다면 안전성 우려가 제기되지 않는다고 결론지었습니다."
6,파나마병을 야기하는 곰팡이 균주 TR4가 미국 바나나 공급에 어떤 영향을 미치고 있나요?,파나마병을 야기하는 곰팡이 균주 TR4는 미국 바나나 공급에 심각한 위협으로 작용하여 재배 가능한 바나나 생산량 감소를 초래하고 있습니다.,"TR4 균주는 미국의 과일 공급을 심각하게 위협하고 있으며, 캐번디시 바나나 품종이 전멸되어 가고 있습니다."
7,미국 동식물검역국이 멕시코 소로나주를 열진드기 청정지역으로 승인하려는 이유는 무엇인가?,"멕시코 소로나주가 열진드기 청정지역으로 승인될 경우, 수출용 동물의 검역 부담을 줄이고 국제 무역에 유리한 조건을 제공하기 위함입니다.",소노라산 소와 반추류의 수입에 관한 규제를 없애고 반추류 수입업자와 수출업자의 진드기 침지와 관련된 비용을 절감시키기 위함이다.
8,Mountain View Organic Dairy의 목욕용 우유는 언제 회수되었나요?,제공된 정보로는 Mountain View Organic Dairy의 목욕용 우유 회수 시기를 알 수 없습니다.,2014년 12월 12일에 회수되었습니다.
9,카프리 썬 주스제품의 포장 시스템에 어떤 변화가 있었나요?,"카프리 썬은 포장 재질을 환경 친화적인 방향으로 변화시켜, 재활용 가능한 플라스틱 사용량을 줄이고 종이 기반의 친환경 포장재 사용을 늘렸습니다.","카프리 썬은 포장 시스템에 큰 변화를 주었으며, 이번 달 새로 출시된 파우치에는 깨끗한 내용물을 확인할 수 있게 되었습니다."
10,ZMapp 실험 약품 투여 후 켄트 브랜틀리의 상태는 어떻게 변했나요?,"켄트 브랜틀리는 ZMapp 투여 후 증상이 호전되었으나 여전히 회복 중이며, 구체적인 상태 변화에 대한 공개 정보는 제한적입니다.",브랜틀리는 걸을 수 있게 되었습니다.
11,랜초피딩(사)의 유해 소고기가 판매된 패스트푸드점은 어디인가?,랜초 피딩(사)의 유해 소고기가 판매된 패스트푸드점은 버거킹입니다.,해당 문서에 없음
12,Cuisinart® 전기훈제기기의 회수 사유는 무엇인가요?,Cuisinart® 전기훈제기기의 회수 사유는 안전상의 문제나 제품 결함으로 인한 위험성일 가능성이 높습니다. 하지만 구체적인 사유는 제조사나 관련 기관의 공식 발표를 참고해야 합니다.,제품 사용 시 가스가 문이 열릴 정도로 차는 사례가 10건 있어 예방조치 차원에서 회수함. 상해 보고는 없었음.
